COM;Pot_Cont;Escalao;ORD;COD_Proposta;Contagem;TF;TV|TVFV|TVP;TVV|TVC;TVVz;TFGN;TVGN
ACCIONA;17,25;;;ACCIONA_02;3;1,2241;0,418750028;0,192003321;0,178903082;;
ACCIONA;20,7;;;ACCIONA_02;3;1,4696;0,418750028;0,192003321;0,178903082;;
ACCIONA;27,6;;;ACCIONA_02;3;1,8501;0,418650028;0,204003321;0,178103082;;
ACCIONA;34,5;;;ACCIONA_02;3;2,3072;0,418650028;0,204003321;0,178103082;;
ACCIONA;41,4;;;ACCIONA_02;3;2,7693;0,418650028;0,204003321;0,178103082;;
ALFAENERGIA;1,15;1;;ALFAENERGIA_01;1;0,2038;0,168;;;;
ALFAENERGIA;2,3;2;;ALFAENERGIA_01;1;0,3008;0,168;;;;
ALFAENERGIA;3,45;3;;ALFAENERGIA_01;1;0,4142;0,168;;;;
ALFAENERGIA;4,6;4;;ALFAENERGIA_01;1;0,518;0,168;;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_01;1;0,6095;0,168;;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_01;1;0,7393;0,168;;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_01;1;1,0042;0,168;;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_01;1;1,2718;0,168;;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_01;1;1,5367;0,168;;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_01;1;1,8399;0,168;;;;
ALFAENERGIA;1,15;1;;ALFAENERGIA_02;1;0,2038;0,167766878;;;;
ALFAENERGIA;2,3;2;;ALFAENERGIA_02;1;0,3008;0,167766878;;;;
ALFAENERGIA;3,45;3;;ALFAENERGIA_02;1;0,4142;0,167766878;;;;
ALFAENERGIA;4,6;4;;ALFAENERGIA_02;1;0,518;0,167766878;;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_02;1;0,6095;0,167766878;;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_02;1;0,7393;0,167766878;;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_02;1;1,0042;0,167766878;;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_02;1;1,2718;0,167766878;;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_02;1;1,5367;0,167766878;;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_02;1;1,8399;0,167766878;;;;
ALFAENERGIA;1,15;1;;ALFAENERGIA_03;1;;;;;0,127444444444444;0,108718116683247
ALFAENERGIA;2,3;2;;ALFAENERGIA_03;1;;;;;0,236666666666667;0,103482561127691
ALFAENERGIA;3,45;3;;ALFAENERGIA_03;1;;;;;0,368888888888889;0,100450338905469
ALFAENERGIA;4,6;4;;ALFAENERGIA_03;1;;;;;0,554444444444444;0,099132561127691
ALFAENERGIA;1,15;1;;ALFAENERGIA_04;1;0,2038;0,167766878;;;;
ALFAENERGIA;2,3;2;;ALFAENERGIA_04;1;0,3008;0,167766878;;;;
ALFAENERGIA;3,45;3;;ALFAENERGIA_04;1;0,4142;0,167766878;;;;
ALFAENERGIA;4,6;4;;ALFAENERGIA_04;1;0,518;0,167766878;;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_04;1;0,6095;0,167766878;;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_04;1;0,7393;0,167766878;;;;
ALFAENERGIA;10,35;;;ALFAENERGIA_04;1;1,0042;0,167766878;;;;
ALFAENERGIA;13,8;;;ALFAENERGIA_04;1;1,2718;0,167766878;;;;
ALFAENERGIA;17,25;;;ALFAENERGIA_04;1;1,5367;0,167766878;;;;
ALFAENERGIA;20,7;;;ALFAENERGIA_04;1;1,8399;0,167766878;;;;
ALFAENERGIA;3,45;;;ALFAENERGIA_01;2;0,4142;0,191;0,1229;;;
ALFAENERGIA;4,6;;;ALFAENERGIA_01;2;0,518;0,191;0,1229;;;
ALFAENERGIA;5,75;;;ALFAENERGIA_01;2;0,6095;0,191;0,1229;;;
ALFAENERGIA;6,9;;;ALFAENERGIA_01;2;0,7393;0,191;0,1229;;;
